key;DataModel;Method;Topic;DM description;Method description;Topic description;Comment;title;authors;year;venue;type;url;ee;pages;volume;number;publisher;isbn;doi
conf/sbbd/YamanakaAADPSA24;;;;;;;;Statistical Validation of Column Matching in the Database Schema Evolution of the Brazilian Public School Census.;Muriki G. Yamanaka, Diogo Henrique de Almeida, Paulo Ricardo Lisboa de Almeida, Simone Dominico, Letícia M. Peres, Marcos Sfair Sunyé, Eduardo C. de Almeida;2024;SBBD;Conference and Workshop Papers;https://dblp.org/rec/conf/sbbd/YamanakaAADPSA24;https://doi.org/10.5753/sbbd.2024.240840;498-509;;;;;10.5753/SBBD.2024.240840
conf/semweb/DividinoSGG13;305;402;650;305: NoSQL (Graph/ JSON/Key-Value/Other);402: Empirical Study;650: Understanding how schemata evolve;Case study for the change of LOD schemata;Change-a-LOD: Does the Schema on the Linked Data Cloud Change or Not?;Renata Queiroz Dividino, Ansgar Scherp, Gerd Gröner, Thomas Grotton;2013;COLD;Conference and Workshop Papers;https://dblp.org/rec/conf/semweb/DividinoSGG13;https://ceur-ws.org/Vol-1034/DividinoEtAl_COLD2013.pdf;;;;;;
conf/time/BrahmiaGOB14;303;411;611;303: XML;411: Algebra;611: SMOs/Languages/Rigorous Models for schema evolution;Algebra for schema evolution on XML data;High-Level Operations for Creation and Maintenance of Temporal and Conventional Schema in the tauXSchema Framework.;Zouhaier Brahmia, Fabio Grandi , Barbara Oliboni, Rafik Bouaziz;2014;TIME;Conference and Workshop Papers;https://dblp.org/rec/conf/time/BrahmiaGOB14;https://doi.org/10.1109/TIME.2014.14;101-110;;;;;10.1109/TIME.2014.14
conf/vem/LawrenceB21;;;;;;;;Assessing the Occurrence of Blocking Operations in Database Schema Evolution: A Case Study.;Willie Lawrence, Eiji Adachi Barbosa;2021;VEM;Conference and Workshop Papers;https://dblp.org/rec/conf/vem/LawrenceB21;https://doi.org/10.5753/vem.2021.17209;6-Οκτ;;;;;10.5753/VEM.2021.17209
conf/vldb/Gobert20;;;;;;;;Schema Evolution in Hybrid Databases Systems.;Maxime Gobert;2020;PhD@VLDB;Conference and Workshop Papers;https://dblp.org/rec/conf/vldb/Gobert20;https://ceur-ws.org/Vol-2652/paper08.pdf;;;;;;
conf/www/TanonK18;309;402;650;309: Other;402: Empirical Study;650: Understanding how schemata evolve;Case study on how wikidata schema evolves;Property Label Stability in Wikidata: Evolution and Convergence of Schemas in Collaborative Knowledge Bases.;Thomas Pellissier Tanon, Lucie-Aimée Kaffee;2018;WWW;Conference and Workshop Papers;https://dblp.org/rec/conf/www/TanonK18;https://doi.org/10.1145/3184558.3191643;1801-1803;;;;;10.1145/3184558.3191643
journals/bpmj/ArunagiriR15;302;422;631;302: Relational;422: Method (not fully automated);631: Guaranteeing the correctness/validity of schema and application code coevolution;Method for adapting workflows in the presence of schema evolution;Data perspectives of workflow schema evolution.;Aravindhan Arunagiri, Parthasarathy Ramachandran;2015;Bus. Process. Manag. J.;Journal Articles;https://dblp.org/rec/journals/bpmj/ArunagiriR15;https://doi.org/10.1108/BPMJ-07-2013-0097;172-189;21;1;;;10.1108/BPMJ-07-2013-0097
journals/corr/ScherzingerKS13;305;411, 413, 431;641, 643, 644, 611;305: NoSQL (Graph/ JSON/Key-Value/Other);"411: Algebra
413: Language
431: Tool";"641: Data migration script generation
643: Efficiently performing lazy data migration
644: Efficiently performing eager data migration
611: SMOs/Languages/Rigorous Models for schema evolution";Methods, language and algebra for schema evolution and data migration for JSON data;Managing Schema Evolution in NoSQL Data Stores.;Stefanie Scherzinger, Meike Klettke, Uta Störl;2013;DBPL;Conference and Workshop Papers;https://dblp.org/rec/journals/corr/ScherzingerKS13;http://arxiv.org/abs/1308.0514;;;;;;
journals/dke/FedushkoMSS24;;;;;;;;NoSQL document data migration strategy in the context of schema evolution.;Solomiia Fedushko, Roman Malyi, Yuriy Syerov, Pavlo Serdyuk;2024;Data Knowl. Eng.;Journal Articles;https://dblp.org/rec/journals/dke/FedushkoMSS24;https://doi.org/10.1016/j.datak.2024.102369;102369;154;;;;10.1016/J.DATAK.2024.102369
journals/dke/HolubovaVS21;;;;;;;;Evolution management in multi-model databases.;Irena Holubová, Michal Vavrek, Stefanie Scherzinger;2021;Data Knowl. Eng.;Journal Articles;https://dblp.org/rec/journals/dke/HolubovaVS21;https://doi.org/10.1016/j.datak.2021.101932;101932;136;;;;10.1016/J.DATAK.2021.101932
journals/dpd/PrabhuneSSHG18;;;;;;;EXCLUDE: A metadata store in RDF, for handling heterogeneous metadata.;MetaStore: an adaptive metadata management framework for heterogeneous metadata models.;Ajinkya Prabhune, Rainer Stotzka, Vaibhav Sakharkar, Jürgen Hesser, Michael Gertz;2018;Distributed Parallel Databases;Journal Articles;https://dblp.org/rec/journals/dpd/PrabhuneSSHG18;https://doi.org/10.1007/s10619-017-7210-4;153-194;36;1;;;10.1007/S10619-017-7210-4
journals/ijiids/AnguelAB17;302, 301;422;632, 611, 661;"302: Relational
301: Conceptual (ER/UML/Other)";422: Method (not fully automated);"632: Guaranteeing the correctness/validity of conceptual and logical schema coevolution
611: SMOs/Languages/Rigorous Models for schema evolution
661: Method/guidelines/hints on how to evolve a schema as a sequence of steps";Method for evolving schemata on the basis of an algebra for conceptual model evolution;Using logic programming for adapting models to metamodel evolution.;Fouzia Anguel, Abdelkrim Amirat, Nora Bounour;2017;Int. J. Intell. Inf. Database Syst.;Journal Articles;https://dblp.org/rec/journals/ijiids/AnguelAB17;https://doi.org/10.1504/IJIIDS.2017.10007348;69-93;10;1-Φεβ;;;10.1504/IJIIDS.2017.10007348
journals/rcs/BoukettayaNG20;;;;;;;;Data Migration in Graph-oriented Databases.;Soumaya Boukettaya, Ahlem Nabli, Faïez Gargouri;2020;Res. Comput. Sci.;Journal Articles;https://dblp.org/rec/journals/rcs/BoukettayaNG20;https://rcs.cic.ipn.mx/2020_149_10/Data%20Migration%20in%20Graph-oriented%20Databases.pdf;317-336;149;10;;;
