"10.1109/upinlbs.2018.8559726", "A novel adaptive weighted K-nearest neighbor positioning method based on omnidirectional fingerprint database and twice affinity propagation clustering.", "UPINLBS", "2018", "Jingxue Bi, Yunjia Wang 0004, Xin Li 0031, Hongxia Qi, Hongji Cao, Shenglei Xu", "conf/upinlbs/BiWLQCX18", "Conference and Workshop Papers"
"10.1007/978-1-4614-8265-9_11", "Adaptive Stream Processing.", "Encyclopedia of Database Systems", "2018", "Zachary G. Ives", "reference/db/Ives18", "Reference Works"
"10.1007/978-1-4614-8265-9_5016", "Adaptive Interfaces.", "Encyclopedia of Database Systems", "2018", "Maristella Matera", "reference/db/Matera18", "Reference Works"
"10.1007/978-1-4614-8265-9_865", "Adaptive Query Processing.", "Encyclopedia of Database Systems", "2018", "Evaggelia Pitoura", "reference/db/Pitoura18a", "Reference Works"
"10.1007/978-1-4614-8265-9_855", "View Adaptation.", "Encyclopedia of Database Systems", "2018", "Kenneth A. Ross", "reference/db/Ross18a", "Reference Works"
"10.1007/978-1-4614-8265-9_1540", "Adaptive Middleware for Message Queuing Systems.", "Encyclopedia of Database Systems", "2018", "Christophe Taton, Noël De Palma, Sara Bouchenak", "reference/db/TatonPB18", "Reference Works"
"10.1142/s2424922x17500061", "4D Visual Delivery of Big Climate Data: A Fast Web Database Application System.", "Adv. Data Sci. Adapt. Anal.", "2017", "Julien Pierret, Samuel S. P. Shen", "journals/aada/PierretS17", "Journal Articles"
"10.1007/s10619-017-7192-2", "An I/O-efficient and adaptive fault-tolerant framework for distributed graph computations.", "Distributed Parallel Databases", "2017", "Zhigang Wang 0001, Yu Gu 0002, Yubin Bao, Ge Yu 0001, Lixin Gao 0001", "journals/dpd/WangGBYG17", "Journal Articles"
"10.1504/ijiids.2017.10007348", "Using logic programming for adapting models to metamodel evolution.", "Int. J. Intell. Inf. Database Syst.", "2017", "Fouzia Anguel, Abdelkrim Amirat, Nora Bounour", "journals/ijiids/AnguelAB17", "Journal Articles"
"10.1016/j.ijmedinf.2017.05.016", "Adaptable pattern recognition system for discriminating Melanocytic Nevi from Malignant Melanomas using plain photography images from different image databases.", "Int. J. Medical Informatics", "2017", "Spiros Kostopoulos, Pantelis A. Asvestas, Ioannis Kalatzis, George Sakellaropoulos, Theofilos H. Sakkis, Dionisis A. Cavouras, Dimitris T. Glotsos", "journals/ijmi/KostopoulosAKSS17", "Journal Articles"
"10.4018/jdm.2017100101", "Adapting Agile Practices for Data Warehousing, Business Intelligence, and Analytics.", "J. Database Manag.", "2017", "Dinesh Batra", "journals/jdm/Batra17", "Journal Articles"
"10.4018/ijaras.2015070104", "Analysis of the Join Performance in Vertically Distributed Cloud Databases.", "Int. J. Adapt. Resilient Auton. Syst.", "2015", "Jens Kohler, Kiril Simov, Thomas Specht", "journals/ijaras/KohlerSS15", "Journal Articles"
"10.1504/ijbdi.2015.069095", "Robust fingerprinting codes for database using non-adaptive group testing.", "Int. J. Big Data Intell.", "2015", "Thach V. Bui, Binh Q. Nguyen, Thuc Dinh Nguyen, Noboru Sonehara, Isao Echizen", "journals/ijbdi/BuiNNSE15", "Journal Articles"
"10.1007/978-3-319-16211-9_16", "Adaptation of Social Network Analysis to Electronic Freight Exchange.", "New Trends in Intelligent Information and Database Systems", "2015", "Konrad Fuks, Arkadiusz Kawa, Bartlomiej Pieranski", "series/sci/FuksKP15", "Parts in Books or Collections"
"10.1504/ijiids.2014.060463", "Intelligent adaptation for UEC video/voice over IP with access control.", "Int. J. Intell. Inf. Database Syst.", "2014", "Bao Rong Chang, Chi-Ming Chen, Chien-Feng Huang, Hsiu Fen Tsai", "journals/ijiids/ChangCHT14", "Journal Articles"
